file,tag,android:id,android:text,android:hint,android:inputType,android:contentDescription,android:checked,android:enabled,android:maxLength,android:autofillHints
res/layout/activity_free_ema_announcement.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0436,@7F1309C7,,,,,,,
res/layout/activity_friends_streak_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0E55,@7F130383,,,,,,,
res/layout/activity_friends_streak_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0E52,@7F130384,,,,,,,
res/layout/activity_friends_streak_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0E53,@7F130382,,,,,,,
res/layout/activity_immersive_family_plan_owner_onboarding.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0CE3,,,,,,,,
res/layout/activity_immersive_family_plan_owner_onboarding.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0F38,,,,,,,,
res/layout/activity_immersive_max.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0CE3,@7F1309C6,,,,,,,
res/layout/activity_live_strings_debug.xml,EditText,@7F0A0908,,,0x00000002,,,,,
res/layout/activity_live_strings_debug.xml,EditText,@7F0A0909,,,0x00000002,,,,,
res/layout/activity_live_strings_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0224,@7F13040A,,,,,,,
res/layout/activity_live_strings_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0220,@7F1303CF,,,,,,,
res/layout/activity_live_strings_debug.xml,EditText,@7F0A0905,,@7F130366,0x00000001,,,,,
res/layout/activity_live_strings_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0223,@7F130407,,,,,,,
res/layout/activity_lottie_testing.xml,com.duolingo.core.design.legacy.DryRadioButton,@7F0A0A59,@7F130364,,,,,,,
res/layout/activity_lottie_testing.xml,com.duolingo.core.design.legacy.DryRadioButton,@7F0A0D7A,@7F130365,,,,,,,
res/layout/activity_lottie_testing.xml,Spinner,@7F0A0114,,,,,,,,
res/layout/activity_mega_launch_promo.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0CE3,@7F130FDA,,,,,,,
res/layout/activity_mega_launch_promo.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0F38,@7F130050,,,,,,,
